,Closed-loop recycling,Open to high and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,0.0,0.0,0.0,0.0,0.0
1994,0.0,9.677689878268434e-07,0.0,1.5623176485097026e-07,3.2157704931824706e-06
1995,0.0,8.126628187255347e-06,0.0,1.3119220391981728e-06,2.7003728640162386e-05
1996,0.0,2.9845150123964946e-05,0.0,4.818051141088512e-06,9.917155265407186e-05
1997,0.0,8.191283606261687e-05,0.0,1.322359685315788e-05,0.00027218570189416636
1998,0.0,0.00018422743983024782,0.0,2.9740752618335973e-05,0.0006121638247274154
1999,0.0,0.0003685955927050438,0.0,5.950422124386358e-05,0.0012247952206028586
2000,0.0,0.0009534227095414368,0.0,0.00015391577373763106,0.0031680996760995723
2001,0.0,0.0034974939682820023,0.0,0.0005646178603504578,0.011621717625546922
2002,0.0,0.01047653927689175,0.0,0.0016912798832650364,0.03481217759720533
2003,0.0,0.025275391570342014,0.0,0.004080332271445348,0.08398683925391674
2004,0.0,0.051967622422965806,0.0,0.008389391960658158,0.17268165119021373
2005,0.0,0.09619128066126088,0.0,0.01552863723679548,0.31963111645737363
2006,0.0,0.16590029160866068,0.0,0.02678210985610666,0.5512650945381954
2007,0.0,0.2739809720812085,0.0,0.04423011208485877,0.9104031404133428
2008,0.0,0.44701437913731806,0.0,0.07216375627328903,1.4853706499585322
2009,0.0,0.7200412051974445,0.0,0.11623983581662783,2.3926032872255893
2010,0.0,1.1376045577964902,0.0,0.18364916628104777,3.7801120059515663
2011,0.0,1.759137809383746,0.0,0.28398637281531325,5.845386173781864
2012,0.0,2.6585897489303982,0.0,0.4291893765089433,8.834147999809081
2013,0.0,3.92999757342842,0.0,0.6344390701498795,13.058870860585019
2014,0.0,5.684260464510097,0.0,0.9176384606384015,18.888058314807093
2015,0.0,8.053387197460543,0.0,1.3000983816528233,26.760358355687274
2016,0.0,11.20186678098986,0.0,1.808373112626166,37.222346568221916
2017,0.0,15.313691435622776,0.0,2.4721654335534526,50.88540517397523
2018,0.0,20.566859431289668,0.0,3.320210491149902,68.34099927616882
2019,0.0,27.1150951665075,0.0,4.377324780243364,90.09993506000923
2020,157.2833954839072,0.0,0.0,0.0,0.0
2021,199.63545185855395,0.0,0.0,0.0,0.0
2022,248.64565734871698,0.0,0.0,0.0,0.0
2023,304.0792939739761,0.0,0.0,0.0,0.0
2024,365.2815937083805,0.0,0.0,0.0,0.0
2025,431.25227119761536,0.0,0.0,0.0,0.0
2026,497.7764666259369,0.0,0.0,0.0,0.0
2027,568.8041226552479,0.0,0.0,0.0,0.0
2028,638.9526047753974,0.0,0.0,0.0,0.0
2029,708.5816304968286,0.0,0.0,0.0,0.0
2030,771.4165474939623,0.0,0.0,0.0,0.0
2031,827.3999022819794,0.0,0.0,0.0,0.0
2032,876.6310104213194,0.0,0.0,0.0,0.0
2033,889.606992628701,0.0,0.0,0.0,0.0
2034,925.6550714387607,0.0,0.0,0.0,0.0
2035,947.3121758359281,0.0,0.0,0.0,0.0
2036,948.8910986016406,0.0,0.0,0.0,0.0
2037,960.9253043615213,0.0,0.0,0.0,0.0
2038,950.0451096100801,0.0,0.0,0.0,0.0
2039,962.1828529924903,0.0,0.0,0.0,0.0
2040,969.1553507115708,0.0,0.0,0.0,0.0
2041,947.4591215973511,0.0,0.0,0.0,0.0
2042,974.7087657038805,0.0,0.0,0.0,0.0
2043,1056.3999934630456,0.0,0.0,0.0,0.0
2044,1155.6812266828983,0.0,0.0,0.0,0.0
2045,1249.8584947679053,0.0,0.0,0.0,0.0
2046,1346.6180426337908,0.0,0.0,0.0,0.0
2047,1443.146672088724,0.0,0.0,0.0,0.0
2048,1544.0095941226189,0.0,0.0,0.0,0.0
2049,1631.8768485461428,0.0,0.0,0.0,0.0
2050,1705.1668986450288,0.0,0.0,0.0,0.0
