,Energy consumption,Energy saved,CO2 emission,CO2 saved,Steel and iron_Energy consumption,Steel and iron_Energy saved,Steel and iron_CO2 emission,Steel and iron_CO2 saved,Cu_Energy consumption,Cu_Energy saved,Cu_CO2 emission,Cu_CO2 saved,Al_Energy consumption,Al_Energy saved,Al_CO2 emission,Al_CO2 saved,Concrete_Energy consumption,Concrete_Energy saved,Concrete_CO2 emission,Concrete_CO2 saved,Composites_Energy consumption,Composites_Energy saved,Composites_CO2 emission,Composites_CO2 saved,REEs_Energy consumption,REEs_Energy saved,REEs_CO2 emission,REEs_CO2 saved
1993,0.0014533678130300538,1.0163384318205308e-07,9.430722711962248e-05,1.1186366389224718e-08,0.0008637648417068131,9.539363877191429e-08,4.2738364563618365e-05,1.0684087542454401e-08,9.072103441869295e-06,1.9141051700039203e-09,2.1096666583755226e-06,1.5890684430221223e-10,1.8101947168831863e-05,4.326099240134875e-09,3.701270474307962e-06,3.433720024681044e-10,9.328235679311905e-05,0.0,1.7301209915261645e-05,0.0,0.00046776056391942034,0.0,2.8340787108059e-05,0.0,1.386e-06,0.0,1.159284e-07,0.0
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,0.002591436425482314,2.4083634747481164e-07,0.00016793319322251982,2.652954252201178e-08,0.0014870413366115394,2.2674446098753788e-07,7.357756613442512e-05,2.539537963060424e-08,1.5807909661784073e-05,4.104747564402299e-09,3.6760405308172435e-06,3.407714959126437e-10,3.098365252247705e-05,9.971191887252406e-09,6.335168100872435e-06,7.914354098850564e-10,0.00016176864126823858,0.0,3.0003457422238996e-05,0.0,0.0008930628854182745,0.0,5.410910423416604e-05,0.0,2.772e-06,1.5947035619050097e-11,2.318568e-07,1.9559856098401994e-12
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,0.002544739333153428,7.359674201832295e-07,0.00016475474101896085,8.123164411517699e-08,0.0014049104218106295,6.980155500186328e-07,6.95137969125051e-05,7.817774160208686e-08,1.5488784976474296e-05,9.01719956793709e-09,3.601829879144615e-06,7.485976999796829e-10,2.9135642274960123e-05,2.873375004057626e-08,5.957308984305676e-06,2.280660877660089e-09,0.00015423528942500422,0.0,2.8606236060278987e-05,0.0,0.0009381971946663593,0.0,5.6843712382726476e-05,0.0,2.772e-06,2.0092055608341925e-10,2.318568e-07,2.4643935450347242e-11
1998,0.008103888061381705,1.5387383194164022e-06,0.0005250850914919739,1.6974354508756108e-07,0.004630829269068108,1.4564118496176984e-06,0.00022912957320909904,1.6311812715718219e-07,4.9388092326805545e-05,2.0924392972166298e-08,1.1484923245227565e-05,1.7371194165572023e-09,9.643296151667772e-05,6.106289557618214e-08,1.9717462982452612e-05,4.846696195957058e-09,0.000504230873049176,0.0,9.352040922086726e-05,0.0,0.002814690865420939,0.0,0.0001705371524343275,0.0,8.316e-06,3.3918125035537e-10,6.955704e-07,4.160231786465578e-11
1999,0.42629920970620067,3.96061890003608e-05,0.027613028750421854,4.3607836164284755e-06,0.24105026692327108,3.722261189086796e-05,0.011926966332141017,4.168932531777212e-06,0.002588029705714232,7.215931226875054e-07,0.0006018317599678659,5.990584414764196e-08,0.005011963806308573,1.6612927308983688e-06,0.0010247866420984126,1.318604544255656e-07,0.026308293756427254,0.0,0.004879436245396091,0.0,0.15088327551447953,0.0,0.009141751398818466,0.0,0.00045737999999999964,6.912559069686744e-10,3.825637199999997e-05,8.47860780553208e-11
2000,0.1306714901812516,1.64560843588761e-05,0.008463568992499641,1.8133978317578323e-06,0.07369906905926073,1.5514042172925228e-05,0.003646568521161338,1.7375727233676254e-06,0.0007940499024128741,2.664964703469264e-07,0.0001846518412119879,2.212423527408446e-08,0.0015320167693756717,6.736667925638457e-07,0.0003132485351851107,5.347041358017968e-08,0.00804873178741954,0.0,0.0014928096050855404,0.0,0.04646650706278279,0.0,0.002815323663215663,0.0,0.0001311156,1.878923040098741e-09,1.0966826640000002e-05,2.3045953594284698e-10
2001,0.2598691250366725,4.106845499773044e-05,0.016829570137791742,4.5275983800225354e-06,0.14537441847346444,3.877973626202407e-05,0.007193005080718293,4.343330461346695e-06,0.0015864337771948074,6.293344836044709e-07,0.00036891625706364457,5.224663637471079e-08,0.0030166753066345185,1.6521687501767097e-06,0.0006168138233352707,1.3113626402747875e-07,0.01590395454476907,0.0,0.002949728818195191,0.0,0.0937030641262893,0.0,0.00567730329706341,0.0,0.00028457880832031385,7.215501925187908e-09,2.380286141593122e-05,8.850182736521965e-10
2002,0.060312950300984255,5.512149992227224e-05,0.0039022658124368333,6.088685048931868e-06,0.033113489216280254,5.242428573510365e-05,0.0016384278518472,5.871520002331608e-06,0.0003594134766171798,5.845492836785296e-07,8.357958361571106e-05,4.852861977708548e-08,0.0006849636028856893,2.090726200246312e-06,0.00014005319624960582,1.6594553248591807e-07,0.003637241732958416,0.0,0.0006746043399613753,0.0,0.022462125072242715,0.0,0.0013609405190829408,0.0,5.57172e-05,2.193870324374597e-08,4.660321680000001e-06,2.690894337255999e-09
